gene_id,Con1_Liver,Con2_Liver,Con3_Liver,Con4_Liver,Con5_Liver,Con6_Liver,T1_Liver,T2_Liver,T3_Liver,T4_Liver,T5_Liver,T6_Liver
307398,73,150,195,158.99,134,122,7,9,7,46,4,11
307401,0,0,0,0,0,0,0,0,0,1,1,0
307403,1169.56,1064.99,1021,850.54,863.92,1074,526.12,508.82,633,1874.25,976,453.95
307404,1,0,5,4,2,1,0,0,1,3,0,0
307410,283,292.95,297,300,294,288,295,301,158,311,285,314
307412,15.06,17.49,8.57,36.81,36.02,24.18,7.09,9.78,14.56,45.74,4.98,8.97
307414,743.51,572.62,1242.41,653.1,196.99,224.33,168.94,138.99,142.21,687.9,109.83,121.14
307415,566.34,410.12,497.34,352.2,1156.51,1201.86,481.26,419.61,255.85,516.27,418.78,473.98
307428,48.63,70,50.01,57.94,50.91,39.66,36.13,33,37.6,90.02,39.5,35.4
307429,572.5,489.32,578.98,445.95,424.92,404.97,412.05,368.98,371.88,498,379.91,420.75
307446,218.93,226.76,261,219.99,247,218.94,290.81,277.5,299,306,335.81,301
307449,28.2,12.61,17.83,21.57,20.79,23.84,6.37,15.99,31.4,15.97,22.98,3.47
307452,614.99,604.22,663.55,574.98,685.92,639.94,811.31,847.35,797.97,527.09,851.41,867.77
307459,212.79,170.36,262.59,162.9,213.09,225.52,177.99,203.79,239.28,235.15,210.7,184.17
307472,0,0,0,1,1,0,0,0,0,1,1,0
307474,642.02,696.66,809.44,659.69,744.49,690.01,915,832.87,715.08,728.02,1016.19,927.68
307475,2,1,0,4,4,0,7,13,24,5,12,20
307479,13.44,9.04,7,11.56,8.34,7.52,12.65,11.87,15.8,13.79,10.09,3.96
307480,1400,1162.84,1303.13,1184.17,1181.57,1081.02,705.8,643.99,810.37,737.91,744.74,669.92
307481,506.99,539.99,585.99,567.02,387.45,387.8,1175.61,1104.52,1297.49,871.97,710.85,1083.99
307482,48.39,46,53.85,28.32,33,30,88.46,95.7,38.34,86.79,58.6,80.16
307483,1435.99,1342.91,1707.96,1374.98,1417,1371.98,931,993.98,1209.17,1327.66,978.99,1031.81
307485,104.13,114,108,94.99,65.51,63,238.23,211.92,172,119,168.99,210.99
307486,1,4.21,3,2.34,4.36,2.02,7.3,4.63,4.22,6.96,7.33,3.11
307487,1,2,2,4,2.11,1,1,1.99,1,1,3,4
307491,383.79,411.08,450,411.02,437.68,486.86,325.95,330.92,268.83,263.97,245.89,376.96
307492,486.05,661.93,590.93,680.04,637.03,669.05,1175.05,1109.96,666.02,675.1,938.11,1119.04
307494,58.71,79.92,70.84,82.76,91.99,67,82.6,104.43,63.94,76.93,89.82,95.51
307498,453.02,473.23,554.28,449.52,436.04,445.79,380.88,403.6,240.54,363.87,362.03,424.77
307500,1,0,0,0,0,0,0,0,1,0,0,0
